dataset,scenario,condition,checkpoint,device,same_device_as_full,comparability,lossless_rate,accuracy,bleu,rouge_l,coverage,tau,esr,dsr,tokens_per_second,end_to_end_s,speedup_vs_target
mvbench,Full visual,full,qwen25vl-3b-dflash-llava68k-latest,cuda:0,True,same-device comparison,0.998,0.582,0.5917544180427261,0.22494219375395846,0.2743333333333333,2.2475,1.0933546475028564,1.0516106195204935,26.209255740220602,0.14895280852913856,1.0933546475028564
mvbench,Full visual,full,qwen25vl-3b-dflash-sharegpt68k-latest,cuda:0,True,same-device comparison,0.998,0.582,0.5917544180427261,0.22494219375395846,0.2743333333333333,2.494818652849741,1.1072387225986402,1.0926479256892392,26.630998036485035,0.1469474914111197,1.1072387225986402
mvbench,"EXP2 zero (L25,33)",exp2_zero,qwen25vl-3b-dflash-llava68k-latest,cuda:0,True,same-device comparison,1.0,0.58,0.5974724434823305,0.2188671354789002,0.2663333333333333,2.211340206185567,1.1279862183003762,1.1674457064071886,22.75692801901107,0.16974406948313117,1.1279862183003762
mvbench,"EXP2 zero (L25,33)",exp2_zero,qwen25vl-3b-dflash-sharegpt68k-latest,cuda:0,True,same-device comparison,1.0,0.58,0.5974724434823305,0.2188671354789002,0.2663333333333333,2.484848484848485,1.1382367435595904,1.211385723123904,22.901090574546625,0.16914792102575302,1.1382367435595904
mvbench,"EXP1 zero (L1,9,17,25,33)",exp1_zero,qwen25vl-3b-dflash-llava68k-latest,cuda:0,True,same-device comparison,0.998,0.582,0.5917544180427261,0.22494219375395846,0.2743333333333333,2.2763819095477387,1.0598140791017827,1.0491826014762762,26.909104122213865,0.1441983054727316,1.0598140791017827
mvbench,"EXP1 zero (L1,9,17,25,33)",exp1_zero,qwen25vl-3b-dflash-sharegpt68k-latest,cuda:0,True,same-device comparison,0.998,0.582,0.5917544180427261,0.22494219375395846,0.2743333333333333,2.568306010928962,1.076503045774653,1.1184501100148534,27.449696317259516,0.1420947592072189,1.076503045774653
mvbench,"EXP1 cut (L1,9,17,25,33)",exp1_cut,qwen25vl-3b-dflash-llava68k-latest,cuda:0,True,same-device comparison,0.998,0.582,0.5917544180427261,0.22494219375395846,0.2743333333333333,2.2562814070351758,1.0406422315281225,1.0370290459902656,26.833444108777563,0.1445678949430585,1.0406422315281225
mvbench,"EXP1 cut (L1,9,17,25,33)",exp1_cut,qwen25vl-3b-dflash-sharegpt68k-latest,cuda:0,True,same-device comparison,0.998,0.582,0.5917544180427261,0.22494219375395846,0.2743333333333333,2.5386740331491713,1.0583534188312307,1.1109463934419905,27.394293994458344,0.1422192253433168,1.0583534188312307
vdc50,Full visual,full,qwen25vl-3b-dflash-llava68k-latest,cuda:0,True,same-device comparison,0.04,,0.050095111907734864,0.24125253234247485,0.28056358850657814,2.474175617991637,1.520523013660723,1.5519667216453226,113.82705232610074,1.7371881955862045,1.520523013660723
vdc50,Full visual,full,qwen25vl-3b-dflash-sharegpt68k-latest,cuda:0,True,same-device comparison,0.04,,0.050095111907734864,0.24125253234247485,0.28056358850657814,1.6500536736641518,1.0407524385693747,1.0361550364537762,77.75026417965898,2.535597232580185,1.0407524385693747
vdc50,"EXP2 zero (L25,33)",exp2_zero,qwen25vl-3b-dflash-llava68k-latest,cuda:0,True,same-device comparison,0.04,,0.050095111907734864,0.24125253234247485,0.28056358850657814,2.460499069061379,1.5086487301933105,1.53888251664025,113.02029269045424,1.7494327940791845,1.5086487301933105
vdc50,"EXP2 zero (L25,33)",exp2_zero,qwen25vl-3b-dflash-sharegpt68k-latest,cuda:0,True,same-device comparison,0.04,,0.050095111907734864,0.24125253234247485,0.28056358850657814,1.6515005289571645,1.0423092247805377,1.037726891321062,77.87130578578265,2.531144822575152,1.0423092247805377
vdc50,"EXP1 zero (L1,9,17,25,33)",exp1_zero,qwen25vl-3b-dflash-llava68k-latest,cuda:0,True,same-device comparison,0.04,,0.050095111907734864,0.24125253234247485,0.28056358850657814,2.404785095151671,1.4854705064027243,1.5083489874475893,110.74053571561183,1.7846771235391499,1.4854705064027243
vdc50,"EXP1 zero (L1,9,17,25,33)",exp1_zero,qwen25vl-3b-dflash-sharegpt68k-latest,cuda:0,True,same-device comparison,0.04,,0.050095111907734864,0.24125253234247485,0.28056358850657814,1.657722641536055,1.048232605987355,1.0416579586153463,77.99578297826123,2.531680098734796,1.048232605987355
vdc50,"EXP1 cut (L1,9,17,25,33)",exp1_cut,qwen25vl-3b-dflash-llava68k-latest,cuda:1,False,cross-device or dtype comparison; exploratory only,0.12,,0.04662268758208787,0.23781423823280498,0.27634653796925385,2.40350734077264,1.7903385661913447,1.8393331412864393,78.40809839343065,2.486046678945422,1.7903385661913447
vdc50,"EXP1 cut (L1,9,17,25,33)",exp1_cut,qwen25vl-3b-dflash-sharegpt68k-latest,cuda:1,False,cross-device or dtype comparison; exploratory only,0.12,,0.04662268758208787,0.23781423823280498,0.27634653796925385,1.6347727163374761,1.242112265833384,1.249277595536354,54.550389984197956,3.5381486938521265,1.242112265833384
